text,sentiment
"I waited a while to write my review because I wanted to be sure I wasn't writing it out of pure anger. After my experience I would never use this company again and do not recommend that anyone else does. \n\nI purchased the deal through yelp and was scheduled right away actually for the next day. The woman who showed up to clean my home was on time and was very friendly. She got through my kitchen, master bedroom and master bathroom. She did not clean anything else but what she did get through was very thorough. Th problem is that she used oven cleaner on the top of my stove- ruining the control panel. The company offered the replace the piece however it has been discontinued so 3 weeks later I ended up settling for a scratched part from eBay. (That was my choice and actually the only choice). Someone from Moxie dropped off the part at my home and I ended up having to pay someone to install it. \n\nWorst part- they ended up charging me more than the quoted price! The house cleaner didn't even get through half of what I was quoted for. They did end up refunding me the extra charge however I still paid $95 for the yelp deal and another $50 for the stove part replacement. What a waste. Hiring someone is supposed to be a stress reducer not stressor.",negative
I love coming here the location is convenient the staff is always friendly & nice one time I went 2 hours before closing & the workers Natasha & Jennifer had no manners did not say hello did not even ask to take my order I had to ask them!! Acted like they did not want me there !,negative
"I am going to say this is a great store. What a great location. Right near everything on Paradise. Hard Rock across the street, and La Quinta down the road, as well as Terrible's there as well.\nTHe staff is extra friendly..............Full pharmacy. Everything that you would find in a reg. CVS...\nPlus a whole lot more. Food, water, and drinks,plus gifts and lots of Vegas gear.\nYou can use your CVS card , plus coupons and all the other good things about CVS.\nLots of parking here ,plus easy to walk to.",positive
"I came here with my hungry team after a competition and although I completely understand that 24 people at prime time is a HUGE party, I did not expect to wait for such a long time, especially after being told that it would take no more than 45 minutes to seat us.\n\nThe main problem is...I feel like they didn't even TRY to seat us, hoping we would leave (probably because we were young).  As enormous waves of people spilled out and the lines outside emptied. We were /repeatedly/ told that our table would be ready in 10 minutes, but after another 30 minutes of waiting and the seaters avoiding eye-contact, we still were not seated.\n\nIt took us about 2.5 HOURS to get seated, and our party had to be split up.\nAlso, those ladies at the front podium, get a better attitude. You gave dirty looks the entire night.\n\nFood and beer was fantastic, but it was NOT worth that terrible wait.\nOne star for the food, one star for the cool atmosphere.",negative
"I really appreciated that N\u00e9v\u00e9 was entirely unpretentious.  I find that so many coffee places are either pleased with being fancy coffee places or smug about their hipster self-awareness.  N\u00e9v\u00e9 was neither.  The seating was charming, the staff were incredibly friendly, and the experience was generally quite pleasant.  We were just stopping in to kill time until JR opened, so we didn't spend much time, but I can definitely imagine hanging out and doing some work while there.  I would definitely recommend N\u00e9v\u00e9.",positive
"Ordered the Chicken and Ribs plate. Portions are rather small and I'm just an average to light eater. Ribs were overcooked and dry (as if they were sitting under a heating lamp for some time), chicken was ok, but nothing special. Definitely not worth the price, would not be back.",negative
"The atmosphere is fun. All the waiters have some semblance of Coop make-up. There are lots of guitars, autographs, and concert posters on the walls. They have a variety of beers on tap. The food is very good and similar to what you might get a Chili's or Applebee's and not too much more expensive.\n\nThe restaurant website claims there is a lot for diners behind the venue. However, all the parking in the immediate area is paid lots. Free parking is hard, but not impossible without a walk to find on Suns' game night. I also understand if you can go to the restaurant during a basketball game this is the best, least crowded time.",positive
****** Horrible Parking ......Horrible Lines ...... Horrible Hoard at Pickup Window ********\n\n                        Italian Beef Sandwich ....... Amazing\n                        Chopped Salad ................. Amazing \n                        Hot Dog Sandwich ............ So-So \nThe Hot Dog Buns ......... Were Soaking Wet. \nThus the flavor and crunch of the condiments were totally destroyed by the WET Soaking BUNS ...... Management: Here's a HINT ...... 2 Shakes of the Wrist is a cure.\n\nThe Staffing overall are doing a great job ....... at keeping everything flowing.\n \nGive Portillo's a shot ....... however avoid the WET HOT DOG BUNS ...... For now.\n'Cause they don't shake the water off the dog ...... and to make matters worse ......they wrap the entire sandwich in paper ...... creating a Sauna like enviorment.  \n\nCan't wait for the crowds to reduce to a reasonable level.,positive
Hands down best tapas I've ever had !!,positive
"I love the burgers, sweet potato fries, and beer- but one thing that will get me so uncomfortable that I just can't return to a business that serves wine is when a bartender leaves the foil on the lip of the wine bottle so that the wine pours over it. For the love of all that is good; PLEASE CUT THE WINE BOTTLE FOIL BELOW THE BOTTOM EDGE OF THE VERY CONVENIENTLY LOCATED AND SHAPED GLASS RING ON THE WINE BOTTLE! This should be (and usually is) the very first thing a person learns about opening wine. There is a very good reason you'll find a blade on a wine key and a raised ring on every wine bottle that doesn't have a screw-off cap. Please train your bartenders. It's the simplest lesson to teach, learn, and implement.",negative
"What happened, Switch? You were awesome. You're still good, but I feel like some things have slipped.\n\n1. Quality of food doesn't seem as good. Last few times, the sandwich bread was hard and stale. Some of the appetizers were overpriced and seemed small for size and/or not so great in quality.\n2. Service has gotten a bit slow. I realize that new servers have to learn the system, but the learning curve is only so long.\n3. Food and drink specials have changed. Some stuff isn't as good a deal as it used to be.\n\nThat being said, I still have a good time when I go. It's just not my go to restaurant in Phoenix anymore.",negative
Came here with my wife for dinner and sat outside on the patio with a great view of the Bellagio water show. Nice setting for a good dinner.\n\n-Frisee and warm bacon salad: Had a poached egg on top and when you crack that thing open and let it mix in with the salad it was excellent. One of the better salads I have had.\n\n-French Onion soup: My wife had this as her starter and it was great. Quality gruyere and great flavor.\n\n-Bone in ribeye without bernaise sauce: Cooked medium rare on the more rare side which was perfect. One of the better bone in's that I have had.\n\n- Roast Chicken & Frittes - My wife had this and I was upset that she got roast chicken but it was excellent. Great crunch on the skin and very tender and moist chicken. Fries were also tasty.\n\nSides:\nBrussel sprouts and sauteed mushrooms: Hard to go wrong with either. Fairly standard but brussel sprouts were better than most.,positive
Is place is Closed permanently it is closed no longer open not open anymore Is place is Closed permanently it is closed no longer open not open anymore Is place is Closed permanently it is closed no longer open not open anymore Is place is Closed permanently it is closed no longer open not open anymore,negative
"Marilyn was just terrific from start to finish! My son wanted to get his ears pierced and she was extremely helpful, knowledgeable and professional, but also had a great sense of humor. The entire process was easy and I knew my son was in excellent hands. So glad I found this gem of a place!",positive
"This was one of the worst places I've ever been to. Horrible service. We sat for 10 minutes while servers looked at us as they passed, but no server came to talk to us. When I finally approach someone I was told not to take it out on her. So I didn't and I called the manager over. He was full of apologies but not much else. My family and I left and we went someplace better. Don't waste your time on this place when there are a multitude of other better places close by.",negative
The wait for this place was over 30 minutes we were told by the host.   The guy at the front said he'd yell our name when our table was ready.   There was no one else outside waiting though so we thought he was being a jerk.   We walked down the mall area for a few minutes looking at stores but then went to wait in front of the place again for fear we would miss our calling.   After a wait of over 45 minutes we were about to leave and go eat somewhere else but the guy pointed at us and let us know our table was ready.    \n\nWe sat down and we had a pretty nice waitress who was on the ball and checked in with us often.    I ordered a Stella Artois beer and my husband Iced tea.    They were brought out quickly.    For dinner I ordered the Reuben and my husband the shepherds pie.   My one complaint is that they charge extra for sides which don't really amount to anything when they bring them out to you.  I ordered a ceasar side salad to go with my sandwich and it was basically a few small pieces of lettuce with 2 croutons on top.   The Reuben was pretty good. \n\nWaitress made small talk as we were paying the bill which was nice however once I put my card in and she brought it back I set my beer down for a second to sign my name and she snatched my beer and all the other glasses and took them to the kitchen.   I still had about 3 drinks left in my glass so that irritated me since I'd spent good money to purchase a beer.   I took a dollar tip away for that . \n\nOther than that a reasonable place to eat at in Mandalay Bay.  Just don't go during the Irish music segment if you aren't interested in hearing it because I read on the menu they charge a 20 percent surcharge of your total bill to hear the band play.   Glad we got out a few minutes before they started playing or it would have been an $8 dollar charge extra on top of all the other taxes and tips.,negative
"Yelp 100 Challenge * 77/100\n\nT.I. fans, please don't hate me for this.\n\nIn all honesty, Treasure Island would rank at the lower end of my hotels and resorts preference on The Strip. Why?\n\nFirst and foremost, unlike the rest of the casinos that give off a pleasing aroma with but a faint whiff of cigarette smoke (Bellagio, Caesar's palace to name a few - Quad is an exception), you are greeted with blast of strong, uninvited smell of a science experiment gone wrong the moment you open those T.I. entrance doors. I remember my mom unable to handle the smell of the casino that she requested I take her out for some fresh air. Vicks Vaporub to the rescue! \n\nIt was almost as if T.I. management intentionally chose the heavy scent to cover up the cigarette smell (which I felt was sticking to the carpets!) only to have them both mix up in all the wrong ways. Arrr! Alright, let's look on the bright side. Maybe it's part of the pirate theme?\n\nAlso, parents out there, take heed. The FREE pirate show that plays nightly is NOT for kids. I've seen parents carrying their young toddlers over their shoulders with a hesitant smile one too many times. Expect canon ball blasts, fire shooting out of the walls and suggestive dance movements. Once was really more than enough for me, but I wouldn't stop myself from taking peeps here for a visit. \n\nOnly giving this a 3 because the show is free, or else, I would've stuck with 2.",negative
"\""Customer service\"" interpreted by teen-aged mall employees = apathetic and barely a transaction.  \n\n\""Coffee\"" interpreted by Paradise = barely a step up from awful.\n\nWhy does this enormous mall not have decent coffee in more findable/convenient locations?  Nobody should have to beg for swill from reluctant youths.",negative
"Oh I would definitely come back if I was in town.. So cute, and they really hook you up when you do a tasting. The place is dark, VERY dark, which makes it a great place to get a little tipsy.  They have great regional pairings for you, but I had a really bad one.. I would skip Latin America, Mexican tastings- and go for the Good Spanish Wines.  The place is a little odd to find, a hidden door literally so you gotta know where you are going.. the inside looks like a Cave, full of couches, and small high tables to sit with friends.  There's a terrific surreal feeling once you seated, kind of like you are in a magical kingdom.. after a couple of glasses, some cheese and wine.. you might start seeing some Fairies and Nymph Elves!",positive
"Sweet Tomatoes... I feel betrayed.  I've been a longtime fan of Sweet Tomatoes for years, and ate at this location and other locations in different states.  I always enjoyed their endless salad, soup, starches, and dessert, and was skeptical of the new \""Field Kitchen\"" experience.  We went here yesterday and saw that they remodeled the whole kitchen to serve an a la carte menu only.  Prices for entrees ranged from around 8-11 dollars, and they included more meat options, such as rotisserie chicken, and steak and shrimp skewers.  \n\nSuch a drastic change in their business model is a risky gamble, since the Sweet Tomatoes experience is so well-engrained in longtime customer's heads such as mine.  Part of the experience that I so enjoyed about this restaurant chain was that I could get a little bit of everything, and mix and match things as I wanted to.  I also loved their pre-made salads such as the tarragon tuna and the wonton chicken salad, and now they are gone from the menu.  The closest thing they have to the previous buffet is a make your own salad with one cup of soup and unlimited soft serve.  The price is cheaper ($7.99) and the portion of salad that you will ultimately make is quite large, but for me the best part of Sweet Tomatoes was getting a little bit of each pre-made salad, starch, and soup rather than making a huge salad made with all the same ingredients.  \n\nAnother thing that was weird was that at the end of the salad line, there were no free range dressings, although you could pick out your own toppings and greens for your salad.  There is someone at the kitchen counter that actually gets your desired dressing out for you and pours it over your salad.  I foresee that this might cause some problems as the salad line gets backed up because only one person can pour your dressing for you vs. being allowed to choose and pour your own dressing.\n\nNow, I have to admit, since changing over to an a la carte menu, the food has improved in taste, although the prices are a bit high for some items. For instance, my husband had the steak wedge salad ($9.99).  The salad portion was fairly big since it was a wedge of iceberg lettuce, but the 2 skewers of beef were small, and already precooked so they tasted like they had been sitting out for some time.  If they grilled the skewers right in front of you, that would make the high price more explainable, but for me, it didn't seem like a good deal for what you got.  \n\nAs for the new paying system, you will be given a card, and whenever you order an item an associate will swipe your card to add charges to it.  Once you are done, you pay at one of the two cashier's booths.  Tip is automatically included at 7.5%, which I thought was weird.  I would actually tip more money than that when I ate here before the takeover took place, but maybe others didn't tip at all.  \n\nSo, I am still skeptical of this new eating experience.  Will I eat at a \""Field Kitchen\"" again?  I'm not so sure.  This restaurant made a trade off in getting rid of their buffet and replacing it with slightly better tasting food, and their concept is still fresh tasting fare, but for me some of that magic is lost.",negative
"Not bad at all.  The food is tasty, portions are large and prices are reasonable.  Avoid the Khus Shurbat drink, though---it simply tastes like Sprite, which is what they said they made it from.",positive
"This place is an absolute NIGHTMARE. Also, disregard any reviews from prior to June/July of 2012 as this complex was under different management back then. \n\nI lived here for 3 years under BRE and almost always loved living here. Ever since renewing with the new management, MEB, last year I've been miserable. \n\nI was looking to upgrade from a 1BR to a 2BR and was instantly offered a great location in the complex with promise it was fully upgraded at a specific price (by Tomas). Two days later I got a call from the front office telling me I actually could not have that apartment as they had also offered it to someone else... and they would be giving it to the other people, not me - without explanation to why. They, however promised to find me another location. \n\nWhen the new location was determined I got a call but was told I wouldn't be able to see it until 10 days prior to my move in as it was currently occupied. The manager, Pam, promised that the unit was FULLY upgraded with a fireplace and new cabinets and laminate floors.  I was nervous to wait until so close to my move date but I  still trusted the new management group as they seemed eager to keep me in the complex. HUGE mistake. \n\nOn my tour through the unit it was a disaster. The floors were stained. There was a terrible infestation of ants. The cabinets were so old and disgusting and the entire kitchen was so filthy it actually smelled. Even Carolyn (who was showing me the unit) seemed disgusted. \n\nAt this point my current apartment was completely packed and ready to go only to now be told there were no acceptable, livable apartments in the complex for me to move in to. I was in a tight spot - I had very little time to look for another place to live and had to be traveling for work for the next 3 weeks. I felt stuck and dependent on the management to find me another location in the complex. \n\nI finally received a call from Pam that another location would be available for me to view and make a decision. When I came to view it Pam pawned me off on Carolyn to show me the unit (it was more important for her to go to lunch than to diffuse an already messy situation). Carolyn pleasantly obliged. The unit, to my surprise, was much cleaner. The carpets needed to be replaced which she assured me would happen. The cabinets were not upgraded and were stained as were the counters and the rent was higher than originally discussed. We reached an agreement to bring the rent back down if I didn't make them upgrade the kitchen (as usual, I got the raw end of the deal). When I viewed the unit I pointed out the loud noise coming from the apartment above me and mentioned that I would not be able to put up with that even during the day as I often work from a home office. I was told they would notify the neighbors someone would be moving in below so they were more conscientious of their noise.\n\nAfter moving in I filled out the extensive \""pre-existing problems\"" sheet with items that included overly patched walls, obvious flood damage on the ceiling as well as near the sink, scratch marks in the laundry room (even though I was assured this unit was previously pet free as I am VERY allergic to animals - again I let it go as the carpets were replaced and I just did a deep clean when I moved in), stained counter, stained cabinets, stained refrigerator, stained showers, rusty washed and dirty/damaged dryer. When I turned it in they made no offer to come correct any problems (something the previous management did when I first moved in to my first unit). \n\nThe upstairs neighbors were never quieter than the day I saw the unit and were often MUCH louder. They played loud music, they dropped cigarette butts off their balcony onto mine, they threw garbage and food over their balcony. Every time I complained I was promised action that never seemed to come. At one point, after calling security on their loud noise after 2am I heard the security guard tell them it was \""the neighbor downstairs complaining\"". This began the retaliation - my assigned parking spot is located far from my unit and every time I was walking back to my door they would sit on their balcony calling me vulgar things and spitting and pouring drinks over the balcony as I walked by. I reported this to no reaction from management as well. \n\n I later found out the unit above was housing 5 people although only 1 was on the lease - meaning no other adult had been background checked  for a criminal history. As a woman living alone I became more concerned. I pushed harder for them to take action and in turn manager Pam offered to \""let\"" me break my lease at no charge - she tried to push me out instead of dealing with the real issue. I pointed out that is MEB wanted to break the lease they would be legally obligated to abide by their terms just the same and that they wouldn't be doing ME the favor by trying to force me to leave and pay to try and move again. She relented and 5 months later the neighbors above me finally moved",negative
"Bland, bland, bland...\n\nI've been here multiple times for take out,  therefore should know better by now.  This time,  the Ma Po tofu (ordered extra spicy) had absolutely zero spice to it, minimal flavor and, other than the large pieces of broccoli around the perimeter,  was nearly vegetable-less. Basically a pile of tofu in bland brown sauce with unseasoned broccoli.  I'll have to use the leftovers to reinvent this dish as something more palatable. \n\nThe orange chicken my friend ordered was fine. Nothing to write home about.  The crab puffs should have been called cream cheese wontons with basic sweet and sour sauce. Bleck.  \n\nIf there were better options in this area, this place would not get such good reviews. But compared to...nothing...it's an edible option for pseudo-Asian food. Maybe. If you really have the yen...",negative
"Great food loved the green chili burrito and beans were awesome. Wife had the beef tacos with guacamole which I also tasted and thought it was pretty good.....wife said it was okay? The folks there are very friendly and attentive. My only gripe is the pricing......WOW!!! Tacos were like $2.80 a piece and nothing else, beans and rice are a la carte and not cheap either. The burrito was also about $6 dollars.......as good as it is its still just a burrito. So if you don't mind paying inflated prices for good food this is your place. I will probably return when I get the 2nd mortgage on the house",negative
"The front desk lady is not full of energy. She has no impression what so ever. Although they do have  variety of food , some of the food looks as if it's been trying to be used yesterday as well. Other than that the waitresses were great!",negative
"Pros: walking distance from work, delicious bread, cool and hip carrying case, chocolate.\n\nCons: 9 dollars for a sandwich, can't stop in there when I wear sweats to work for fear that the CenPho hipster crowd will gag. Just kidding. But it is one of those places where you feel like you're supposed to wear your invisible elite badge. I guess that comes in the form of the nine dollar swipe of your credit card for your sandwich.\n\nBetter than Subway - but save this place for when you're trying to impress out of town guests who think that all Phoenix does is try to copy LA, New York, and SF. I think this place will prove their point.",negative
"We came here from West Champaign because we thought this was the coziest looking Starbucks in town. There were three or four tables occupied and nobody in line. The drive up was busy, and there were four employees behind the counter. It took almost two minutes to be acknowledged, and then that one moved on anyway. \n\nFinally someone asked me what I wanted and I ordered. She never made eye contact or smiled. I felt I was an inconvenience. She then gave me my total without glancing at my wife who had been right with me from the start. She acted surprised that we were together. \n\nShe never asked how we wanted our coffee and never smiled or said anything other than what I accounted for above. \n\nOur treatment was negligent, dismissive, and essentially unfriendly. We will not be coming back. (And, yes, the coffee tastes weak. How do they mess that up?)",negative
"Definitely a family staple.I'm not sure what some of the negative reviews are about. It's family owned/operated and has been around for YEARS.\nIt has never once smelled of anything but food when I walked in (and smoking is not allowed indoors in Phoenix- hasn't been for YEARS). The restaurant is well lit as is the parking lot.\nThey keep the chips and salsa coming - FOR FREE.\nTheir food is homemade, not canned. Their salsas are fresh and flavorful, though none have a real kick.\nThe only thing I have tried and didn't like were the fajitas. They were definitely not the same kind of fajitas you would get at a more Americanized Mexican restaurant. I've never tasted any weird touches or after tastes in their food. It tastes as authentic as anyone in my family has made or anything I had even in Mexico.",positive
"Now this is what I call a first class joint.\n\nFulfills your quick BBQ fix. Choose what type of sandwich you want, which type of sauce and I promise, PROMISE that your dreams will come true.\n\nI expect to go to this place about 2-3 a week. Yeah, it's that LBD.\n\nLBD scale- 9.5. That's pretty damn legitimate big dog.",positive
"I Love Sunset Pizzeria!  I was introduced to this place by a good friend and now it has sort of become \""our place\"".  We both really love the chicken cheese steaks with peppers and onions. We always order fries with our cheese steaks and there is just something about their ranch dressing.  I am a sucker for a good white pizza and this place delivers just that. They have a couple different options of white pizzas that are interesting too.  Their crust is not too thick, not too thin and has just the right amount of crisp.  The staff is friendly, even when we walk in close to closing.",positive
"The food was good, the waitress was a little slow but overall we had a nice experience. The chicken nachos are slowly becoming my favorite...",negative
"* this review is regarding an oil change I got on 10/23/12*\n\n   So, I had to get my oil changed. HAD to. I was driving around for over a month with that pesky little maintenance required sign lit up. So I finally bit the bullet, stopped being lazy, and bought a groupon for a $12 oil change at just brakes. I called to schedule my appointment and they said they could get me in ASAP. Sweet.\n\nI went in for my appointment and met Tom. He tried to upsell me a little on different oil change packages and while I probably should've taken him up on that, he didn't pressure me or try to convince me any further when I said the basic oil change would be just fine. He said he was going to check my car and make sure nothing else needed to be done.\n\nSo, I sat in the waiting room for 20 minutes before realizing he wouldn't be coming back out and my oil change was in process. That's when I decided to take a walk.\n\nOverall, the entire process lasted a little over an hour. Kind of what you'd expect from an oil change i think?\n\nWhen it was time for me to pay my sales tax (like $1.50 or something) Tom had a laundry list of other ailments my car had. I chose not to take him up on those other procedures (totaling close to $400) and figured I'd rather risk it.",negative
Absolutely amazing!!,positive
"Pretty delish burgers, prepared so many different ways and with so many different toppings... Great fries as well.\n\nEven bigger bonus is gluten free buns are available! Will be back when I'm craving a burger",positive
"Are you kidding me? Run from this place, you would be better off without one of their cars.",negative
Great food! Great service! What more can we ask for! :))))) checking in to get my free shaved ice,positive
Seriously- ice cream sandwiches 5 star?NO way! The ice cream gelato is good but the ice cream sandwiches is buttered bread with ice cream UGH! Definitely don't know  what all the hype is about,negative
"Haha. Wow, this place blows...\n\nWe went here to spend some time outdoors and play mini golf.  The course was really hacked up and in bad shape, as were the clubs.  I gave it 2 stars, because I had a great time joking about the place.\n\nNothing wrong with what it offers, but they are definitely in need of some restoration.",negative
"The many different varieties of pizza type can match those of a snooty wine list, but Libretto's focuses primarily on New York style by the slice.  If you've been tainted by Fuel's inedible pizza by the slice, Libretto's will be your new mecca.  Large, thin slices are premade, popped in the oven upon order, and handed across the counter piping hot.  Dine-in can be a bit choppy, as tables fill up quickly and the ordering process varies whether you want pizza (order at the counter before sitting) or pasta/salads/sandwiches (seat yourself and order from your server).  The menu is large, so there should inevitably be something to satisfy everyone's tastebuds.  However, consistency is not their strongest suit - I've eaten here 10+ times and have ordered the same thing, yet my bill has been a different amount every time.  That being said, pizza prices are reasonable, and entree prices are affordable as well.  A small patio next to CVS allows for the classic epicenter people watching experience.",negative
"Love love LOVE this place!!\n\nThe majority of my diet is vegan. Well....\""whole food plant based.\"" There is not any vegan places closer to me, but this one is about 15 minutes away. And I'm so thrilled I finally tried this place!\n\nVegan is very hard to do...and a lot of people veer from it because some people don't know how to cook vegan or make it taste great. Chef Mayra is an amazing cook and has such an awesome variety on her menu. Everything is made to order and fresh for that day. \n\nI went here with a friend on Saturday morning for brunch. We had - \n\nPura Vida Empanadas - filled with vegan meat, cheese and veggies. I don't even know what the cream sauce was on top...but it was delicious. All very good flavoring with Pico de Galo on the side. \n\nCourse 3 brunch sampler- fruit empanadas, tofu scramble, chili potatoes, soy sausages & pancakes with bananas. \nThe Chili potatoes are amazing. She uses yams in a lot of her cooking too, which I love. \nThe wheat pancakes are awesome too. \n\nI also had the infused water - Apple Orange kiss of Mango water. Loved it and so refreshing!\n\nThe staff is awesome and friendly...as well as the people in the restaurant. It's just one of those \""good vibe\"" type of places. \n\nEverything was SO good. I cannot wait to go back for more breakfast and lunch items. The Northwest side is DYING for a place like this. I would be eating out all of the time...so maybe it's a good thing there isn't one too close to me.",positive
"This is one of the few late night eat outs in Vegas. They'll always be there after all the party ends. Aside from the typical cafes at the casinos, this is a pretty chilled place with classic Italian food. They've been opened 24/7 since the 1940s. A definite mom n pops shop kind of restaurant/bar. \n\nI had the cheese and meat ravioli with their special sauce. It's good and there's no complaint but of course I'm not like blown away. I would say that they're classic comfort Italian food. Aside from this we also had the steak & eggs with potatoes. This on the other hand was pretty amazing. The potatoes were well seasoned (herbs). Steak was pretty well marinated. A definite good breakfast. This is way better than Denny's or Ihops quality for sure.\n\nBasically a nice place to chill in the wee morning that is off the strip. Very laid back with awesome people and service. If you don't want fast food or pay for those overpriced cafes...then this is the place to crash.",negative
A-ok.  Love that they have a Paradise Bakery Cafe though they did not carry my lemon sugar cookie.  \n\nGenerally pretty quick & convenient though TSA lines are long & slower than many airports of the same size.  If you have different airlines for your connections you may have to go in & out of different terminals which also means visiting TSA again...dislike.\n\nBe warned they do not expect proper etiquette from pet owners.  Lady pulled out her pet parakeet and it was practically flying around & generally bothering people.  They informed there was no leash law & nothing they could do to make the pet owner & her pet behave with some decorum!,negative
"2 words: CRAB LEGS!!!!\n\nBy far, my favorite buffet in Las Vegas. They provide such a wide range of various ethnic cuisines (Chinese, Thai, Italian, Indian, Mexican, Japanese), so you just can't go wrong here. The prime rib and the braised pork shoulder never fails. But I must say, everyone comes here for the crab legs. HUUUUUGE Alaskan crab legs cracked open for your convenience, so all you have to do is peel and grub. I always come back to the table with a mountain-high pile and devour every last piece. Definitely a treat for the die-hard seafood lovers out there.\n\nThe dessert at the Wynn buffet is only mediocre. The homemade ice cream is ridiculously sweet and the creme brulee is usually a custard syrup, but since you have quite a few selections to choose from, I'm sure you'll find something you'll enjoy.\n\nGET HERE EARLY! If you arrive any time after 6pm, be ready for a 60-90 minute wait. But I promise you, it's worth it.",positive
"Fun place!  The service is great, the outside patio is awesome, and the drinks are strong.  They have a coed bathroom which is a bit odd but a surprisingly good place to meet people, no specific dance floor (so people just dance anywhere) and their drinks are pretty expensive, but overall, a very fun night out.",positive
I had a very positive experience here. I love my results and the staff was so sweet. I have only had skin care work performed here but if I ever decide to do a surgery Dr. Corey will be at the top of my list.,positive
"Excellent!  After multiple recommendations, we finally were able to visit Bandung.  I made a reservation for 8pm on a Friday and I was glad I did, the place was quite busy.  Our server was quite friendly, helpful with suggestions and attentive, even labeling our to-go containers at the end of the evening (always a nice touch, me thinks).  \n\nWe started with a couple IPA's ($4-5) and I ordered the Red Curry Squash ($13.95), requesting it mild; our server did fairly warn me that not much having to do with curry can be made with zero spice.  Fair enough, and it was a wee bit spicy, but I survived.  Their strategy of leaving a carafe of water on the table helped too.  The flavor was excellent and the veggies fresh and yummy.  We gobbled up the Lumpia ($3.25, veggie eggrolls) which served two and were piping hot.  My dining companion ordered one of the noodle specials, an Indonesian mac n' cheese, and let's just say HE didn't need a to-go box (no good food left behind!).  Dinner entrees are not cheap here, but at least they are quite good. \n\nThe restaurant itself is split into two areas - the dining area and the bar area. It seems like they have quite a few events and specials during the week in the bar area that may be worth checking out, I was informed their Facebook page is the spot to go to keep up with all that. \n\nBOTTOM LINE:  Bandung Indonesian may fill the void I've felt from a lack of good Thai options in the area (true story).  I have a feeling we will be back here quite a bit!",positive
"Went there last night to have a drink after the rodeo.  The separate Karaoke room was absolutely terrific, great local performances, but had to leave when a couple of knuckleheads decided to smoke in the room rather than take their offensive habit outside.  I will go back, but hopefully they will post some rules.",positive
"My best friend and I came here one evening, It's the closest near my apartment and we were ordering our drinks as well as my roommates and my boyfriend..So that's a total of 5 drinks. However my best friend wanted to pay, she refused in letting me do it, now this is the BAD part...she forgot her wallet at her house in Queen Creek :/ we canceled the order and left....\n\nNow a week goes by and just as my best friend and I were walking in laughing about how embarrassing the last visit was it was the same girl who took out order before, she seen us and immediately looked over at her co-worker and whispered something. Now I'm not the one to be judging, but I HATE when there is no confrontation..we walked to the cash register and she didn't even smile or greet us, we just had to say our order without being asked!!! Lack of customer service, and a little bit snobby I would say! I mean we made a simple mistake of forgetting out wallet, which I know we are not the only ones who have done it before. Overall great drinks as always but I won't be doing service with that particular girl anymore!!!",negative
"Not that great. Expensive. Photos look better than the real thing. \""Sell the sizzle, not the steak\"" applies to this place.",negative
"After vacillating back and forth over what to do for dinner, the Mrs. and I decided to dine out. After clearing the first hurdle we had to decide where. Chinese sounded good so we turned to Yelp for some guidance. Grand China was close and convenient, but had some less than stellar ratings. Having just received the Maverick badge, I kind of coaxed the Mrs. into giving it a shot. My bad. The place was empty upon our arrival. When the egg drop soup is the best part of your dinner, it's kind of hard to recover. The soup was hot and fresh. What followed was average at best. The fried rice was dry and had a bland taste. The Mongolian Beef had plenty of flavor, but some of the meat was rather chewy and full of gristle. The iced tea was some of the worst I have ever tasted. It was brewed tea, but old. It had a sort of \""spinach\"" taste to it. No amount of sweetener was going to help. The gal that took our order was very pleasant and friendly. The older gal that brought our food out was not. We both got a dinner combination which included a small appetizer. The total before gratuity was $27. If you are in the mood for Chinese, there are other places within close proximity that are much better.",negative
